action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_defense_active,parameter_population,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,True,False,False,False,19.19927079998888,0,True,0,2.4866854088660517,0,False,True,laptop,1.0,0.32999999999999996,full,300,False,100,0,0,20,attack-v2-row-v1,1056462992,118,300,False,False,evaluator_collusion,0,0,0,False
True,True,True,0.0,True,False,False,False,16.324701700010337,0,True,0,2.8884940302448583,0,False,True,laptop,1.0,0.31576831803007904,full,300,False,150,0,0,20,attack-v2-row-v1,1409315853,103,300,False,False,evaluator_collusion,0,0,0,False
True,True,True,0.0,True,False,False,False,18.31500900001265,0,True,0,2.693472309718372,0,False,True,laptop,1.0,0.32157919483344394,full,300,False,200,0,0,20,attack-v2-row-v1,1635449145,110,300,False,False,evaluator_collusion,0,0,0,False
True,True,True,0.0,True,False,False,False,17.643250099994475,0,True,0,2.7753838255778587,0,False,True,laptop,1.0,0.32946144255647913,full,300,False,100,0,1,20,attack-v2-row-v1,33835649,107,300,False,False,evaluator_collusion,0,0,0,False
True,True,True,0.0,True,False,False,False,18.758313900005305,0,True,0,2.6139821851058818,0,False,True,laptop,1.0,0.29591269814010174,full,300,False,200,0,1,20,attack-v2-row-v1,865720754,113,300,False,False,evaluator_collusion,0,0,0,False
True,True,True,0.0,True,False,False,False,17.681015599984676,0,True,0,2.6934721196771143,0,False,True,laptop,1.0,0.2928685491734616,full,300,False,150,0,1,20,attack-v2-row-v1,1372562077,110,300,False,False,evaluator_collusion,0,0,0,False
True,True,True,0.0,True,False,False,False,16.448264699982246,0,True,0,2.946770979984586,0,False,True,laptop,1.0,0.31330891568083014,full,300,False,100,0,2,20,attack-v2-row-v1,1011427233,101,300,False,False,evaluator_collusion,0,0,0,False
True,True,True,0.0,True,False,False,False,17.32636300000013,0,True,0,2.88849365295893,0,False,True,laptop,1.0,0.3203282692265402,full,300,False,200,0,2,20,attack-v2-row-v1,1492080402,103,300,False,False,evaluator_collusion,0,0,0,False
True,True,True,0.0,True,False,False,False,17.548822300013853,0,True,0,2.7205042560384882,0,False,True,laptop,1.0,0.3314586361147134,full,300,False,150,0,2,20,attack-v2-row-v1,1711058644,109,300,False,False,evaluator_collusion,0,0,0,False
True,True,True,0.0,True,False,False,False,14.846952699997928,0,True,0,3.1918909071923864,0,False,True,laptop,1.0,0.31889965650680013,full,300,False,150,0,3,20,attack-v2-row-v1,611115984,93,300,False,False,evaluator_collusion,0,0,0,False
True,True,True,0.0,True,False,False,False,17.144195000000764,0,True,0,2.8313743308433303,0,False,True,laptop,1.0,0.3140003538561704,full,300,False,200,0,3,20,attack-v2-row-v1,1088752591,105,300,False,False,evaluator_collusion,0,0,0,False
